City,PM2.5,PM10,NO2,SO2,CO,O3,AQI
Mumbai,214.8,484.7,68.2,61.5,3.24,166.7,208.0
Chennai,117.0,532.0,70.2,52.9,5.3,128.9,491.9
Kolkata,187.4,410.2,70.9,80.7,9.82,100.1,50.4
Bangalore,269.2,484.6,100.2,60.0,3.56,13.2,297.4
Delhi,236.0,378.2,16.9,58.9,4.15,159.4,161.1
Mumbai,40.6,162.9,42.8,9.7,9.47,127.5,78.3
Chennai,333.5,332.9,58.4,32.3,5.91,58.4,133.8
Kolkata,256.0,116.5,44.2,20.5,4.05,108.3,263.7
Bangalore,82.5,99.2,56.6,61.2,8.05,3.3,66.2
Delhi,259.3,568.9,145.6,17.2,2.54,193.0,43.3
Mumbai,11.3,162.3,24.2,65.5,5.09,127.1,100.8
Chennai,196.0,460.5,102.4,42.9,3.73,40.7,383.5
Kolkata,364.3,579.9,73.2,48.4,1.13,137.4,146.9
Bangalore,233.5,259.0,50.5,33.0,5.37,58.4,456.4
Delhi,129.8,484.9,136.2,49.5,6.02,94.5,278.9
Mumbai,435.7,581.4,3.2,77.8,6.52,94.2,111.0
Chennai,179.3,28.5,9.4,86.8,0.03,130.3,461.8
Kolkata,296.2,115.0,40.3,26.8,7.1,88.1,115.0
Bangalore,196.8,1.5,109.8,92.1,8.73,117.1,376.3
Delhi,107.3,185.9,131.2,45.0,9.15,80.0,387.8
Mumbai,381.2,561.0,21.2,38.4,5.21,54.3,401.4
Chennai,460.7,361.7,20.3,45.8,0.67,192.0,35.2
Kolkata,408.2,293.1,61.4,25.5,5.65,160.2,359.3
Bangalore,233.6,408.6,112.7,22.3,4.85,165.9,458.8
Delhi,336.7,564.4,96.8,51.8,6.53,102.9,421.0
Mumbai,353.6,436.0,71.0,21.5,0.32,29.9,187.1
Chennai,198.5,66.0,88.9,77.8,2.78,28.6,322.4
Kolkata,347.6,317.3,26.4,49.1,1.22,157.9,254.7
Bangalore,16.7,244.1,19.8,5.6,2.15,18.8,327.4
Delhi,58.0,522.7,85.1,18.5,3.32,125.7,29.2
Mumbai,404.5,444.7,38.3,98.3,4.81,186.0,5.5
Chennai,174.1,176.5,33.3,88.4,2.32,19.1,260.9
Kolkata,306.5,514.8,138.0,13.0,0.67,36.3,294.0
Bangalore,295.5,296.1,98.4,95.1,9.24,67.2,395.8
Delhi,97.5,433.3,92.1,23.8,6.42,109.9,481.9
Mumbai,348.6,243.0,69.7,8.5,1.72,21.5,271.1
Chennai,20.8,385.0,13.0,27.4,5.09,158.8,453.4
Kolkata,237.4,212.0,103.4,50.0,9.77,106.2,363.6
Bangalore,334.0,153.1,126.2,37.2,1.41,29.9,35.3
Delhi,383.8,372.8,5.9,58.9,0.77,131.6,46.2
Mumbai,236.1,306.9,107.7,0.4,6.59,11.6,499.7
Chennai,232.7,355.1,92.0,76.7,2.74,69.3,228.1
Kolkata,42.3,577.5,132.2,25.3,2.4,49.2,113.0
Bangalore,187.4,579.3,29.6,84.0,8.0,54.1,480.8
Delhi,447.1,18.8,31.5,52.8,6.45,3.7,169.2
Mumbai,255.4,66.2,0.4,53.0,3.09,103.7,92.0
Chennai,12.5,316.8,86.0,5.1,2.44,50.2,30.7
Kolkata,285.5,124.5,115.0,94.3,3.77,17.2,195.0
Bangalore,328.4,234.1,55.5,23.0,9.06,172.7,414.7
Delhi,487.3,18.4,96.3,50.4,2.05,176.5,322.3
Mumbai,126.8,317.2,92.7,2.1,1.61,68.7,118.1
Chennai,119.8,73.8,136.6,93.8,7.03,11.2,367.8
Kolkata,254.1,392.8,76.3,80.2,5.56,184.5,191.4
Bangalore,184.6,47.0,119.1,13.4,0.63,177.1,276.4
Delhi,62.1,15.3,73.6,54.4,7.75,70.7,83.0
Mumbai,311.4,300.0,40.7,62.9,7.42,185.7,489.6
Chennai,475.0,3.8,35.4,7.3,3.62,119.2,318.5
Kolkata,391.5,314.3,87.4,81.3,1.77,12.1,216.4
Bangalore,140.8,118.6,1.7,89.4,2.44,82.2,497.5
Delhi,31.2,204.9,60.8,1.0,8.55,0.2,218.8
Mumbai,307.3,507.1,50.3,96.0,3.32,100.7,80.2
Chennai,94.4,93.5,147.4,87.9,3.33,124.2,478.8
Kolkata,87.2,311.9,131.4,47.7,8.14,21.3,42.3
Bangalore,27.5,264.4,72.8,39.3,3.83,149.0,399.6
Delhi,457.7,36.5,109.1,64.4,7.4,127.6,140.1
Mumbai,152.3,501.3,130.9,68.8,3.6,113.7,107.3
Chennai,444.7,455.4,124.6,43.5,4.65,143.1,39.4
Kolkata,156.2,538.0,73.0,61.8,5.38,164.8,190.3
Bangalore,342.6,524.3,143.6,58.0,1.37,74.0,167.3
Delhi,93.4,19.3,108.5,80.3,9.77,14.9,326.8
Mumbai,89.8,124.2,130.7,57.4,5.97,58.9,419.9
Chennai,300.6,357.1,19.9,44.2,0.02,147.4,71.0
Kolkata,62.5,24.7,55.8,12.0,9.96,67.9,441.9
Bangalore,276.4,263.7,54.0,7.3,6.45,71.9,389.8
Delhi,28.7,3.4,148.0,16.1,1.2,117.0,401.6
Mumbai,122.1,70.3,77.9,9.3,2.96,9.0,69.6
Chennai,173.7,434.6,67.4,63.3,9.88,16.0,140.3
Kolkata,381.4,7.9,41.2,79.3,7.59,40.0,468.2
Bangalore,301.6,272.1,41.3,93.4,9.03,199.2,493.2
Delhi,226.0,19.2,42.9,61.0,0.4,101.0,375.1
Mumbai,377.3,292.1,4.1,40.0,4.92,198.6,89.9
Chennai,188.0,432.4,48.8,8.2,3.39,181.7,289.8
Kolkata,4.5,317.0,26.8,79.5,7.67,128.5,223.6
Bangalore,109.5,574.0,141.9,96.6,1.95,45.5,312.2
Delhi,364.1,401.5,11.9,20.5,5.72,131.2,160.6
Mumbai,224.8,217.0,68.6,30.4,9.96,77.1,34.6
Chennai,136.6,538.5,3.8,5.8,4.42,195.1,322.7
Kolkata,79.4,5.5,8.9,9.5,6.19,115.7,310.1
Bangalore,180.8,78.0,35.3,29.6,0.16,27.4,314.9
Delhi,2.7,188.4,63.2,19.8,7.99,126.1,10.5
Mumbai,55.7,413.5,55.0,51.9,3.95,33.7,328.4
Chennai,59.4,527.2,40.7,38.8,8.24,194.4,480.1
Kolkata,473.4,13.8,63.5,59.7,6.85,196.2,84.9
Bangalore,414.2,243.2,45.6,97.1,6.4,159.4,470.5
Delhi,22.8,347.2,9.7,44.8,0.97,60.2,107.3
Mumbai,363.8,139.9,132.2,77.4,6.03,12.4,234.8
Chennai,406.4,179.0,52.4,8.6,0.41,45.9,174.5
Kolkata,280.8,542.8,87.6,60.3,5.49,82.3,376.1
Bangalore,377.4,414.2,139.9,58.1,4.02,93.8,189.4
Delhi,11.8,304.8,110.9,8.5,8.51,17.0,20.0
Mumbai,157.1,301.4,22.7,1.9,3.43,90.9,350.1
Chennai,329.8,452.1,125.1,89.7,8.89,165.0,173.5
Kolkata,132.5,28.8,99.6,72.2,6.74,89.4,98.2
Bangalore,141.4,538.8,144.5,8.2,3.76,178.6,69.6
Delhi,76.5,63.5,45.7,17.6,0.12,113.5,436.6
Mumbai,149.5,258.3,8.8,83.2,6.15,37.9,380.5
Chennai,427.4,570.6,72.2,99.6,1.42,114.2,133.5
Kolkata,387.5,573.8,91.3,78.1,9.7,162.7,364.4
Bangalore,366.1,456.9,22.0,1.5,4.14,25.9,61.2
Delhi,191.1,218.7,141.8,59.8,1.03,123.8,203.8
Mumbai,413.3,20.8,37.6,57.7,4.97,176.6,227.4
Chennai,119.7,35.3,79.1,70.1,7.9,171.5,123.9
Kolkata,148.3,127.0,77.0,43.3,0.77,187.3,86.8
Bangalore,50.6,162.4,93.9,2.5,6.51,35.9,171.5
Delhi,28.2,579.6,23.4,28.5,8.87,194.4,265.9
Mumbai,241.1,300.8,92.2,56.3,4.91,98.5,404.9
Chennai,413.6,351.8,16.6,46.0,5.71,168.2,134.1
Kolkata,236.2,529.9,110.6,82.6,3.39,168.7,301.0
Bangalore,392.7,47.2,64.9,96.8,1.63,77.3,1.5
Delhi,62.6,41.3,78.2,67.0,3.3,12.4,433.2
Mumbai,467.6,331.2,6.0,6.2,3.75,26.7,31.4
Chennai,134.1,592.5,20.3,85.8,5.37,155.1,52.5
Kolkata,98.7,553.0,63.0,35.7,6.11,57.0,13.5
Bangalore,395.1,528.8,142.2,48.5,2.68,194.4,46.1
Delhi,195.3,558.2,112.1,77.8,0.67,123.3,446.7
Mumbai,372.5,178.6,32.3,76.9,5.25,19.7,35.8
Chennai,23.6,195.8,15.9,32.3,9.4,53.7,311.1
Kolkata,329.8,578.9,138.4,4.2,4.69,79.0,384.0
Bangalore,111.5,149.4,9.8,22.4,4.21,4.1,430.5
Delhi,392.6,323.6,84.8,13.9,9.32,117.3,437.2
Mumbai,496.2,13.6,101.6,4.2,3.26,7.5,217.2
Chennai,371.5,292.5,105.8,19.1,3.46,185.9,149.1
Kolkata,278.9,452.6,123.5,84.9,3.88,121.3,144.4
Bangalore,394.3,137.8,0.7,8.8,5.6,81.0,480.7
Delhi,101.3,587.9,104.5,9.0,8.5,78.5,342.2
Mumbai,435.3,310.8,126.7,22.5,6.36,180.8,213.9
Chennai,317.7,170.4,104.0,64.3,2.18,160.6,78.0
Kolkata,288.6,42.9,10.6,94.6,7.91,24.3,152.2
Bangalore,183.4,136.6,42.9,68.2,9.6,3.9,282.8
Delhi,215.4,66.5,8.3,51.2,6.73,24.9,476.6
Mumbai,285.3,172.7,79.7,46.1,7.41,113.8,83.0
Chennai,339.3,466.7,52.8,84.6,3.49,14.4,190.9
Kolkata,302.1,130.2,86.6,38.6,7.13,49.2,408.0
Bangalore,54.9,542.0,0.7,89.6,4.62,147.3,337.7
Delhi,357.6,189.5,7.8,25.2,3.23,39.9,278.5
Mumbai,121.6,69.5,79.2,60.2,6.31,34.4,351.2
Chennai,440.3,325.9,106.5,31.5,5.01,193.1,422.9
Kolkata,76.0,583.2,148.1,35.5,2.6,69.5,1.7
Bangalore,456.7,514.0,15.3,5.1,4.27,81.7,153.5
Delhi,264.1,168.4,3.7,77.0,2.88,0.0,188.8
Mumbai,177.1,504.0,75.1,14.4,5.79,83.1,392.3
Chennai,64.1,8.1,115.5,43.8,8.1,52.0,491.0
Kolkata,32.1,334.3,126.1,2.4,5.28,151.8,357.2
Bangalore,397.5,539.9,119.7,39.2,7.51,64.0,220.6
Delhi,287.8,277.9,79.4,17.9,3.82,81.6,20.0
Mumbai,280.2,276.0,36.8,40.6,6.85,116.7,263.3
Chennai,410.1,398.0,6.9,78.4,1.49,189.5,398.5
Kolkata,332.9,180.1,96.1,23.1,0.97,9.4,317.4
Bangalore,481.5,44.2,140.2,48.1,4.01,167.9,304.1
Delhi,290.1,300.9,18.0,21.8,9.76,22.6,471.5
Mumbai,480.0,455.5,80.6,44.8,5.29,135.8,450.8
Chennai,26.8,320.2,13.4,26.3,5.56,161.9,494.5
Kolkata,312.5,115.5,19.6,71.4,4.83,145.4,422.5
Bangalore,222.6,53.3,92.4,57.4,7.52,188.7,313.8
Delhi,110.1,514.6,17.5,38.4,3.59,135.7,95.7
Mumbai,336.8,166.1,116.3,73.2,7.04,100.7,163.3
Chennai,159.2,73.9,27.2,38.5,6.81,112.7,328.2
Kolkata,157.0,200.6,20.1,58.0,7.19,132.5,344.7
Bangalore,111.5,556.3,75.0,11.5,8.44,95.3,239.6
Delhi,209.9,212.3,0.4,1.1,5.05,108.7,52.4
Mumbai,53.7,184.0,4.9,11.0,2.64,195.1,1.3
Chennai,175.1,566.0,102.1,64.4,6.52,44.6,471.0
Kolkata,70.6,433.1,130.9,67.3,4.42,138.3,338.8
Bangalore,475.5,147.5,137.9,36.0,0.66,26.0,4.5
Delhi,87.8,563.0,122.9,97.5,9.93,125.1,429.3
Mumbai,6.1,151.4,57.2,20.6,3.64,173.2,313.2
Chennai,248.3,518.5,7.4,71.2,7.3,42.1,106.4
Kolkata,227.4,470.6,17.3,98.8,0.93,165.0,56.7
Bangalore,374.2,39.2,42.7,20.4,2.06,5.2,337.3
Delhi,184.2,0.8,87.9,71.2,1.95,4.7,105.6
Mumbai,189.9,214.9,103.1,38.3,4.68,167.3,84.7
Chennai,198.4,383.5,48.4,74.0,9.64,12.9,121.3
Kolkata,258.5,449.3,115.4,57.1,2.11,113.6,421.0
Bangalore,227.4,110.2,38.6,81.5,9.34,104.0,347.4
Delhi,203.8,512.4,38.6,14.1,4.08,178.1,473.3
Mumbai,41.2,58.5,133.3,42.8,3.36,65.5,297.5
Chennai,246.9,161.8,48.5,15.5,2.96,11.3,384.6
Kolkata,87.0,187.7,111.4,77.3,7.6,105.5,105.2
Bangalore,7.8,485.8,101.7,87.0,9.45,108.7,489.4
Delhi,14.3,585.8,74.5,95.6,2.92,126.3,327.8
Mumbai,479.7,357.9,121.3,48.6,3.7,121.3,356.4
Chennai,375.7,252.0,121.7,47.9,1.2,137.4,270.2
Kolkata,284.8,117.4,94.7,31.3,8.69,184.4,293.9
Bangalore,266.9,228.6,127.1,28.4,9.76,191.7,474.9
Delhi,15.1,311.2,14.6,69.5,9.91,155.4,136.4
Mumbai,408.0,188.6,63.4,86.7,5.14,132.8,313.6
Chennai,164.0,368.5,56.1,18.6,5.31,195.8,28.1
Kolkata,229.3,436.4,64.3,81.6,4.42,69.2,410.9
Bangalore,275.1,537.1,21.6,61.6,8.77,55.1,204.0
Delhi,112.9,295.1,76.2,72.9,2.45,85.9,477.1
Mumbai,6.2,174.7,12.9,43.6,3.3,66.5,59.2
Chennai,348.9,522.2,3.8,51.4,7.37,183.6,317.1
Kolkata,351.2,478.1,19.4,82.0,8.65,190.1,383.0
Bangalore,282.1,490.4,115.9,4.0,9.51,134.7,302.4
Delhi,350.2,309.1,12.0,3.5,9.75,180.8,468.0
Mumbai,391.9,129.1,143.2,90.8,1.94,32.7,103.2
Chennai,312.5,250.5,120.0,28.0,1.72,16.0,177.3
Kolkata,126.4,87.0,25.7,68.7,8.66,32.2,346.5
Bangalore,214.8,498.7,73.9,77.6,1.42,174.6,465.6
Delhi,304.1,591.0,96.6,11.4,2.34,172.9,85.8
Mumbai,460.8,486.7,128.0,74.6,6.2,60.0,387.7
Chennai,1.0,35.2,147.4,10.1,5.43,65.4,497.3
Kolkata,483.1,319.1,33.0,89.2,1.52,4.5,134.5
Bangalore,240.7,347.7,2.4,65.2,2.54,86.6,29.5
Delhi,118.5,267.6,73.1,1.3,9.66,171.7,350.8
Mumbai,235.7,326.4,118.0,60.8,6.91,155.9,367.6
Chennai,59.8,504.0,65.6,63.5,3.08,74.3,305.5
Kolkata,477.1,358.3,36.3,93.9,0.75,158.4,485.0
Bangalore,421.7,313.6,45.1,6.1,5.2,65.9,68.4
Delhi,336.7,442.9,37.5,55.3,5.3,127.2,192.7
Mumbai,370.8,388.1,137.0,0.3,7.11,194.7,54.3
Chennai,283.6,22.9,113.3,86.8,7.21,18.5,166.1
Kolkata,117.8,411.5,14.0,76.2,6.01,20.1,483.1
Bangalore,178.6,95.4,68.2,12.1,5.97,171.5,132.4
Delhi,243.3,118.4,27.0,82.9,9.44,13.5,188.5
Mumbai,184.8,212.8,85.9,44.3,7.46,4.4,37.7
Chennai,60.2,216.5,108.6,51.1,3.99,72.5,128.3
Kolkata,241.9,277.7,60.8,4.5,7.41,194.5,497.3
Bangalore,250.1,597.1,10.8,61.6,9.93,156.9,41.5
Delhi,222.8,5.5,134.7,52.0,5.33,6.2,298.3
Mumbai,430.0,435.0,81.7,18.9,3.06,72.4,387.3
Chennai,356.4,543.0,51.9,13.2,9.61,7.4,373.6
Kolkata,217.6,593.3,113.0,73.8,3.43,62.3,219.4
Bangalore,233.8,96.2,148.2,97.2,7.5,81.2,436.1
Delhi,63.1,138.7,33.1,14.6,1.79,189.9,414.6
Mumbai,231.6,38.8,123.1,67.7,9.23,147.6,114.9
Chennai,457.4,446.0,70.2,88.2,0.01,24.0,136.6
Kolkata,185.9,341.3,27.4,8.3,1.81,162.5,77.8
Bangalore,115.5,461.6,23.0,11.6,7.55,25.4,324.1
Delhi,217.4,572.1,82.6,67.2,8.26,19.5,256.2
Mumbai,434.9,54.4,121.8,53.5,9.53,119.9,182.9
Chennai,380.2,370.5,88.7,79.8,7.88,30.1,406.1
Kolkata,498.6,73.8,87.4,52.3,2.54,153.0,258.7
Bangalore,35.3,442.1,116.3,45.7,5.25,153.5,417.8
Delhi,394.4,582.9,69.7,56.0,0.57,159.1,495.1
Mumbai,96.8,148.4,92.3,0.1,5.01,68.0,357.9
Chennai,226.8,114.2,71.1,12.0,0.44,79.6,470.3
Kolkata,103.4,334.6,79.2,23.8,7.86,167.5,489.2
Bangalore,174.7,566.4,139.8,93.6,8.28,37.6,221.1
Delhi,485.5,57.5,39.2,29.5,6.56,158.0,100.1
Mumbai,388.6,208.0,136.5,19.4,0.13,153.8,198.4
Chennai,97.1,178.5,145.7,11.8,1.27,2.6,25.1
Kolkata,260.1,475.6,39.8,51.5,4.67,177.4,24.1
Bangalore,478.1,5.4,34.1,89.5,6.5,167.5,282.9
Delhi,182.1,270.8,47.5,48.3,1.76,20.0,316.1
Mumbai,141.2,248.6,129.8,43.5,4.09,27.7,326.3
Chennai,332.1,450.0,147.3,77.5,1.21,73.5,406.0
Kolkata,374.4,560.1,119.9,5.7,7.97,48.7,376.1
Bangalore,280.5,344.8,127.4,70.9,4.33,52.4,488.4
Delhi,114.4,506.6,136.8,52.9,5.54,84.6,223.1
Mumbai,296.6,40.6,52.2,89.8,0.52,129.8,115.5
Chennai,492.6,304.4,110.0,47.5,5.76,177.1,13.1
Kolkata,170.1,449.8,135.4,58.6,9.4,34.8,456.4
Bangalore,201.3,219.8,87.8,74.8,5.93,108.8,393.2
Delhi,30.8,35.0,139.6,99.8,6.99,31.7,197.8
Mumbai,399.9,569.0,88.1,74.0,6.99,82.1,248.0
Chennai,302.0,461.0,40.9,99.5,7.9,77.4,276.9
Kolkata,441.1,338.1,119.7,59.0,3.83,135.7,24.3
Bangalore,436.5,169.1,128.0,70.5,4.91,117.4,211.0
Delhi,328.3,160.2,80.1,5.0,7.59,188.5,355.0
Mumbai,402.5,413.5,50.5,23.0,7.97,7.7,50.9
Chennai,498.0,20.2,56.7,51.0,6.11,101.2,499.6
Kolkata,400.1,336.4,36.5,29.0,5.77,108.4,484.6
Bangalore,410.5,331.4,126.4,76.9,0.37,146.2,398.6
Delhi,89.0,305.8,148.2,30.3,1.76,124.1,499.7
Mumbai,190.3,445.4,34.6,7.4,5.56,139.9,292.0
Chennai,352.8,233.8,70.1,19.2,5.32,170.1,311.9
Kolkata,328.1,243.3,43.5,44.0,0.01,168.1,287.2
Bangalore,214.1,282.1,68.0,86.3,8.93,142.3,106.6
Delhi,356.8,43.4,148.4,65.2,4.7,26.3,74.7
Mumbai,394.4,541.2,15.3,90.1,5.91,26.5,92.9
Chennai,238.0,400.8,5.6,0.8,6.38,68.0,122.9
Kolkata,418.3,308.5,34.8,19.2,9.62,45.1,305.3
Bangalore,156.9,202.4,64.1,52.6,9.36,106.8,35.4
Delhi,450.7,525.3,98.7,95.8,2.74,51.9,450.3
Mumbai,273.8,484.2,123.6,96.4,1.27,40.3,48.3
Chennai,109.7,466.0,14.6,19.6,8.24,126.6,92.5
Kolkata,303.8,37.5,137.2,26.2,0.21,35.3,472.4
Bangalore,137.8,391.3,146.9,94.7,0.59,38.8,68.7
Delhi,92.9,445.5,124.0,27.3,4.78,68.2,205.8
Mumbai,129.3,445.2,26.0,35.1,8.29,37.3,476.3
Chennai,302.7,292.6,95.2,96.4,3.16,35.0,295.7
Kolkata,12.9,395.2,62.1,18.2,6.55,112.5,348.9
Bangalore,272.2,206.7,34.1,92.2,5.32,164.7,276.9
Delhi,331.7,515.6,44.3,73.6,9.36,16.4,70.6
Mumbai,102.6,268.4,28.6,68.4,9.3,98.8,303.4
Chennai,142.8,256.8,148.7,43.1,6.49,165.6,111.7
Kolkata,211.4,35.9,84.3,67.5,6.26,64.3,241.4
Bangalore,320.7,22.7,39.0,84.7,1.86,5.9,357.2
Delhi,215.9,371.7,58.9,68.5,2.04,124.0,63.2
Mumbai,225.9,305.6,138.6,76.7,2.95,85.1,453.1
Chennai,131.6,394.1,83.0,18.3,2.89,50.3,147.8
Kolkata,277.6,211.3,140.8,42.7,1.21,128.2,91.7
Bangalore,61.2,265.9,137.9,39.2,9.53,76.4,395.0
Delhi,387.1,136.9,99.8,84.8,2.61,53.9,277.1
Mumbai,454.5,167.8,113.2,55.6,0.92,134.5,331.8
Chennai,238.0,163.8,107.3,78.9,9.0,30.2,289.0
Kolkata,435.7,175.1,36.3,89.3,6.61,102.7,335.8
Bangalore,38.4,236.6,125.1,97.3,3.37,174.4,425.4
Delhi,410.0,294.3,141.6,70.8,9.6,71.6,87.5
Mumbai,354.8,232.9,3.0,34.1,2.72,149.3,375.5
Chennai,449.6,190.8,122.8,13.5,0.28,40.5,205.4
Kolkata,199.1,559.7,137.4,49.2,5.4,108.8,86.8
Bangalore,352.1,306.1,123.2,36.5,4.0,106.4,186.0
Delhi,97.9,174.0,110.4,47.0,2.58,68.5,340.6
Mumbai,278.7,512.1,57.6,41.7,3.82,128.0,160.1
Chennai,488.4,583.9,44.1,93.6,7.28,166.1,293.4
Kolkata,174.8,41.1,146.0,11.6,7.08,160.3,469.6
Bangalore,182.2,450.1,33.0,7.3,2.06,186.3,111.0
Delhi,336.0,161.4,20.8,48.7,8.91,146.7,204.1
Mumbai,67.4,52.5,117.9,2.3,7.49,92.9,316.1
Chennai,417.7,155.0,2.4,26.7,2.15,193.3,399.8
Kolkata,98.2,252.2,114.9,43.8,1.15,171.0,164.9
Bangalore,83.1,542.7,0.8,27.2,9.42,146.3,169.5
Delhi,266.3,284.5,123.5,41.2,7.71,141.8,85.9
Mumbai,127.9,591.8,87.6,52.7,4.57,191.1,321.5
Chennai,96.0,284.8,135.0,89.4,7.25,164.4,225.6
Kolkata,131.4,138.3,81.3,38.8,8.79,18.8,116.6
Bangalore,5.1,217.1,138.3,42.8,6.86,127.4,436.8
Delhi,175.4,483.0,51.6,14.5,0.12,0.4,341.5
Mumbai,198.7,194.2,17.4,97.0,4.85,111.2,182.2
Chennai,468.3,268.9,16.8,58.9,3.4,7.1,365.5
Kolkata,253.4,455.6,47.4,61.7,4.16,104.2,38.1
Bangalore,163.7,597.0,123.9,5.7,2.27,19.6,104.1
Delhi,316.5,478.1,36.4,98.9,1.71,80.7,216.2
Mumbai,146.1,430.1,41.7,84.1,0.31,142.6,40.6
Chennai,165.6,258.0,6.6,43.4,7.98,4.2,160.3
Kolkata,385.3,445.5,93.4,55.3,9.72,156.3,172.5
Bangalore,177.4,149.5,2.9,2.7,3.83,38.0,396.2
Delhi,244.1,292.7,31.7,32.8,5.08,76.8,161.3
Mumbai,225.0,593.9,62.9,48.7,7.0,137.5,429.6
Chennai,388.9,388.8,34.5,90.1,5.45,75.1,309.0
Kolkata,454.7,504.3,45.6,22.5,1.5,70.8,369.8
Bangalore,488.2,1.9,125.6,80.6,4.36,44.2,385.8
Delhi,20.3,227.4,30.5,50.1,0.48,170.9,157.1
Mumbai,238.9,357.9,82.0,97.6,7.17,34.8,212.2
Chennai,486.0,117.1,127.7,17.7,4.9,45.0,426.5
Kolkata,423.4,236.4,20.4,10.7,1.36,84.6,377.2
Bangalore,35.5,321.5,29.5,13.1,1.48,107.7,153.9
Delhi,135.9,334.6,113.6,1.4,5.49,39.8,467.2
Mumbai,230.7,235.7,77.6,98.3,9.57,95.9,135.8
Chennai,499.4,186.3,134.8,99.8,9.48,180.8,300.2
Kolkata,281.4,594.0,77.1,79.5,4.18,31.4,156.9
Bangalore,89.0,307.9,27.4,94.3,7.22,117.6,196.9
Delhi,44.7,426.3,139.2,67.0,1.35,108.2,391.6
Mumbai,207.8,265.5,68.4,39.6,8.6,173.0,176.0
Chennai,29.0,558.8,87.3,25.0,9.29,51.4,306.5
Kolkata,420.2,583.7,72.8,34.1,8.82,168.7,129.1
Bangalore,159.9,94.1,30.0,20.8,5.76,16.7,61.0
Delhi,272.9,203.8,78.3,21.5,7.06,166.8,195.4
Mumbai,360.8,486.8,29.7,62.1,3.04,138.1,148.3
Chennai,305.6,514.7,118.0,18.4,3.01,132.9,110.8
Kolkata,24.7,258.6,51.0,22.5,2.45,102.6,106.0
Bangalore,163.3,249.5,133.2,84.2,8.5,5.0,174.0
Delhi,394.7,151.0,137.7,19.6,8.02,171.1,47.7
Mumbai,190.3,48.8,93.4,15.8,5.23,82.4,261.4
Chennai,440.1,421.7,58.0,28.0,4.6,174.8,461.2
Kolkata,223.5,598.4,105.5,97.3,2.61,93.6,249.1
Bangalore,298.3,225.6,113.2,25.4,1.73,1.4,89.2
Delhi,153.9,165.4,102.2,62.9,2.35,18.6,37.6
Mumbai,350.5,212.3,98.1,49.4,5.88,66.9,403.3
Chennai,488.7,149.5,132.3,25.7,1.42,165.6,280.6
Kolkata,410.7,90.3,108.8,53.9,3.88,121.0,128.3
Bangalore,408.1,369.6,24.9,68.4,5.35,8.2,144.4
Delhi,198.0,474.8,85.2,65.1,2.9,155.0,22.6
Mumbai,53.4,143.7,132.9,6.5,1.71,75.9,223.7
Chennai,182.4,60.1,138.8,14.9,5.17,4.8,68.7
Kolkata,82.6,89.9,73.0,52.8,0.39,63.8,3.1
Bangalore,143.3,125.0,118.7,39.7,2.33,124.6,215.3
Delhi,205.8,182.7,45.0,12.6,4.76,7.5,18.5
Mumbai,149.3,102.9,140.1,73.1,0.27,191.0,98.9
Chennai,306.4,507.8,140.0,53.4,4.88,121.1,398.5
Kolkata,236.4,325.2,135.3,4.9,4.78,71.2,398.9
Bangalore,392.0,4.3,13.6,33.0,8.93,28.8,16.8
Delhi,445.0,373.7,41.1,95.1,8.11,148.6,70.8
Mumbai,130.2,558.0,99.5,4.8,9.58,151.2,416.7
Chennai,109.7,588.4,136.7,85.4,2.38,134.9,36.7
Kolkata,83.8,153.9,141.3,44.4,7.59,182.0,145.8
Bangalore,161.1,379.7,113.1,6.9,7.84,164.4,407.1
Delhi,339.6,31.2,36.3,9.7,5.14,103.5,213.9
Mumbai,173.4,72.7,104.1,16.7,5.3,126.8,487.2
Chennai,248.8,194.4,72.7,31.1,9.95,111.8,431.0
Kolkata,335.1,350.0,99.8,69.9,9.47,63.0,417.0
Bangalore,103.7,136.9,141.6,65.3,6.17,77.2,323.9
Delhi,138.9,267.9,119.5,52.2,4.94,169.0,319.6
Mumbai,87.6,43.3,85.7,1.1,1.03,175.6,138.3
Chennai,120.7,165.0,114.0,17.4,6.23,13.8,429.2
Kolkata,303.4,50.1,62.3,43.4,8.91,175.8,338.8
Bangalore,66.2,424.5,136.1,60.5,1.16,37.8,419.4
Delhi,322.2,21.3,46.3,51.6,8.34,154.8,86.8
Mumbai,484.5,478.5,22.2,75.0,5.2,169.7,313.2
Chennai,95.5,285.0,8.0,10.9,9.92,90.9,370.4
Kolkata,496.2,183.6,73.0,50.9,1.75,77.2,112.2
Bangalore,51.2,373.9,13.7,76.2,9.43,81.7,499.8
Delhi,285.6,493.7,32.0,67.9,5.27,144.3,342.1
Mumbai,451.5,230.7,106.5,61.6,4.96,167.7,464.4
Chennai,455.2,136.8,82.5,27.0,4.69,97.5,372.5
Kolkata,109.0,321.9,112.2,41.3,2.51,21.8,172.5
Bangalore,54.4,38.0,9.8,79.8,8.58,53.4,459.1
Delhi,188.0,595.2,56.5,88.8,9.04,167.3,379.4
Mumbai,56.8,21.8,131.5,0.2,2.29,167.7,86.4
Chennai,13.4,289.3,53.6,70.2,5.19,117.9,297.4
Kolkata,170.9,401.7,135.3,87.3,7.93,166.7,168.6
Bangalore,60.6,136.8,125.5,9.0,5.15,73.4,239.8
Delhi,270.2,564.9,32.2,8.7,5.57,25.1,438.6
